Pinus leucodermis;Borovice bělokorá
pinus silvestris;Borovice lesní
Pinus mugo;Borovice kleč
Pinus nigra;Borovice černá
Pinus pinea;Borovice pinie
Pinus strobus;Borovice vejmutovka
Cedrus atlantica;Cedr atlaský
Abies alba;Jedle bělokorá
Abies grandis;;Jedle obrovská
Tsuga heterophylla;Jedlovec západní
Tsuga canadensis;Jedlovec kanadský
Larix decidua;Modřín evropský
Picea pungens;Smrk stříbrný
Picea abies;Smrk ztepilý
Betula pendula;Bříza bělokorá
Betula pubescens;Bříza pýřitá
Carpinus betulus;Habr obecný
Corylus avellana;Líska obecná
Alnus glutinosa;Olše lepkavá
Alnus incana;Olše šedá
Fagus sylvatica;Buk lesní
Quercus cerris;Dub cer
Quercus rubra;Dub červený
Quercus suber;Dub korkový
Quercus robur;Dub letní
Quercus petraea;Dub zimní
Castanea sativa;Kaštanovník setý
Nothofagus antarctica;Nothofagus antarktický
Cupressus sempervirens;Cypřiš stálezelený
Cupressus macrocarpa;Cypřiš velkoplodý
Chamaecyparis lawsoniana;Cypříšek Lawsonův
Juniperus communis;Jalovec obecný
Juniperus virginiana;Jalovec virginský
Calocedrus decurrens;Pazerav sbíhavý
Thuja plicata;Zerav obrovský
Crataegus monogyna;Hloh jednosemenný
Crataegus oxyacantha;Hloh obecný
Pyrus pyraster;Hrušeň planá
Malus sylvestris;Jabloň lesní
Malus domestica;Jabloň domácí
Sorbus aucuparia;Jeřáb ptačí
Sorbus torminalis;Jeřáb břek
Sorbus aria;Jeřáb muk
Prunus spinosa;Trnka obecná
Acer campestre;Javor babyka
Acer pseudoplatanus;Javor klen
Acer platanoides;Javor mléč
Acer saccharinum;Javor stříbrný
Celtis australis;Břestovec jižní
Ulmus minor;Jilm drobný
Ulmus glabra;Jilm lysý
Ulmus laevis;Jilm vaz
Persica vulgaris;Broskvoň obecná
Prunus dulcis;Mandloň obecná
Prunus armeniaca;Meruňka obecná
Prunus domestica;Švestka domácí
Cerasus avium;Třešeň ptačí
Prunus cerasus;Višeň obecná
Ficus benjamina;Fikus benjamina
Maclura pomifera;Moruše texaská
Morus nigra;Morušovník černý
Morus alba;Morušovník bílý
Morus rubra;Morušovník červený
Ficus carica;Smokvoň obecná
Phillyrea latifolia;Jamovec širolistý
Fraxinus ornus;Jasan manový
Fraxinus excelsior;Jasan ztepilý
Olea europaea;Olivovník evropský
Ligustrum lucidum;Ptačí zob lesklý
Juglans nigra;Ořešák černý
Juglans regia;Ořešák vlašský
Juglans regia;Ořešák královský
Pterocarya fraxinifolia;Paořech jasanolistý
Platanus occidentalis;Platan americký
Platanus acerifolia;Platan javorolistý
Platanus orientalis;Platan východní
Metasequoia glyptostroboides;Metasekvoje čínská
Sequoia sempervirens;Sekvoje vždyzelená
Sequoiadendron giganteum;Sekvojovec obrovský
Taxus baccata;Tis obecný
Liquidambar styraciflua;Ambroň západní
Populus tremula;Osika
Salix alba;Vrba bílá
Salix caprea;Vrba jíva
Salix viminalis;Vrba košařská
Salix daphnoides;Vrba lýkovcová
Salix pentandra;Vrba pětimužná
Populus alba;Topol bílý
Populus tremula;Topol osika
Populus nigra;Topol černý
Acacia dealbata;Akácie
Sambucus racemosa;Bez hroznatý
Sambucus nigra;Bez černý
Araucaria araucana;Blahočet chilský
Eucalyptus globulus;Blahovičník gunnův
Ilex aquifolium;Cesmína ostrolistá
Citrus sinensis;Pomerančovník
Cycas revoluta;Cykas japonský
Cornus capitata;Dřín hlavatý
Cornus florida;Dřín květnatý
Elaeagnus angustifolia;Hlošina úzkolistá
Ginkgo biloba;Jinan dvoulaločný
Aesculus hippocastanum;Jírovec maďal
Catalpa bignonioides;Katalpa obecná
Tilia platophyllos;Lípa velkolistá
Tilia cordata;Lípa srdčitá
Liriodendron tulipifera;Lyriovník tulipánokvětý
Ailanthus altissima;Pajasan žláznatý
